ID,name,description,url,created,last modified,version,relationship citations,name_zh,description_zh
M1035,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",https://attack.mitre.org/mitigations/M1035,11 June 2019,09 June 2020,1.0,"(Citation: Kubernetes API Control Access),(Citation: Docker Daemon Socket Protect),(Citation: TechNet RDP Gateway),(Citation: Wikipedia 802.1x)",限制通过网络对资源的访问,防止访问文件共享，远程访问系统，不必要的服务。限制访问的机制可能包括使用网络集中器，RDP网关等。
M1034,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",https://attack.mitre.org/mitigations/M1034,11 June 2019,09 June 2020,1.0,,限制硬件安装,阻止用户或组在系统上（包括USB设备）上安装或使用未批准的硬件。
M1033,Limit Software Installation,Block users or groups from installing unapproved software.,https://attack.mitre.org/mitigations/M1033,11 June 2019,11 June 2019,1.0,,限制软件安装,阻止用户或组安装未批准的软件。
M1032,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,https://attack.mitre.org/mitigations/M1032,10 June 2019,21 October 2022,1.0,"(Citation: AWS - IAM Console Best Practices),(Citation: Berkley Secure),(Citation: Evilginx 2 July 2018),(Citation: MFA Fatigue Attacks - PortSwigger),(Citation: Amazon S3 Security, 2019),(Citation: CISA MFA PrintNightmare),(Citation: Microsoft - Device Registration),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Expel IO Evil in AWS),(Citation: Microsoft Nobelium Admin Privileges)",多因素身份验证,使用两个或更多的证据对系统进行身份验证；除了物理智能卡或令牌生成器的令牌外，例如用户名和密码。
M1031,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,https://attack.mitre.org/mitigations/M1031,10 June 2019,10 June 2019,1.0,"(Citation: dhcp_serv_op_events),(Citation: US-CERT-TA18-106A),(Citation: Anomali Template Injection MAR 2018),(Citation: Akamai DGA Mitigation),(Citation: Cisco Umbrella DGA Brute Force),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: Cybereason Dissecting DGAs),(Citation: University of Birmingham C2)",网络入侵预防,使用入侵检测签名来阻止网络边界处的流量。
M1030,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.",https://attack.mitre.org/mitigations/M1030,10 June 2019,14 May 2020,1.1,"(Citation: Harmj0y Domain Trusts),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: TechNet Firewall Design),(Citation: NSA Spotting)",网络细分,网络的建筑师部分隔离关键系统，功能或资源。使用物理和逻辑细分以防止访问潜在的敏感系统和信息。使用DMZ包含任何不应从内部网络暴露的面向互联网的服务。配置单独的虚拟私有云（VPC）实例，以隔离关键云系统。
M1028,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,https://attack.mitre.org/mitigations/M1028,06 June 2019,19 June 2020,1.1,"(Citation: Apple Developer Doco Hardened Runtime),(Citation: Seqrite DoubleExtension),(Citation: TechNet Removable Media Control),(Citation: Microsoft WDigest Mit),(Citation: Microsoft GPO Bluetooth FEB 2009),(Citation: UCF STIG Elevation Account Enumeration),(Citation: SpectorOps Code Signing Dec 2017),(Citation: Windows Anonymous Enumeration of SAM Accounts),(Citation: Windows RDP Sessions),(Citation: Microsoft BITS),(Citation: Microsoft Disable NTLM Nov 2012),(Citation: TechNet RDP NLA),(Citation: HowToGeek ShowExtension),(Citation: Tilbury Windows Credentials),(Citation: TechRepublic Wireless GPO FEB 2009),(Citation: TechNet Server Operator Scheduled Task)",操作系统配置,进行配置更改与操作系统或操作系统的共同功能有关，从而导致系统硬化针对技术。
M1027,Password Policies,Set and enforce secure password policies for accounts.,https://attack.mitre.org/mitigations/M1027,06 June 2019,21 October 2022,1.0,"(Citation: AWS - IAM Console Best Practices),(Citation: Microsoft Install Password Filter n.d),(Citation: NIST 800-63-3),(Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: store_pwd_rev_enc)",密码策略,为帐户设置并执行安全密码策略。
M1056,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.",https://attack.mitre.org/mitigations/M1056,19 October 2020,20 October 2020,1.0,,前弹力,此类别用于任何适用于在对手获得初始访问（例如侦察和资源开发技术）之前的适用于技术的适用缓解活动。
M1026,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",https://attack.mitre.org/mitigations/M1026,06 June 2019,31 March 2020,1.1,"(Citation: Microsoft COM ACL),(Citation: FireEye ADFS),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: TechNet Scheduling Priority),(Citation: Microsoft Process Wide Com Keys),(Citation: Microsoft Replace Process Token),(Citation: FireEye WMI 2015),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Kubernetes Hardening Guide),(Citation: CyberArk Labs Safe Mode 2016),(Citation: ADSecurity AD Kerberos Attacks),(Citation: Microsoft System Wide Com Keys),(Citation: TechNet Credential Theft),(Citation: TechNet Least Privilege),(Citation: Netspi PowerShell Execution Policy Bypass),(Citation: Microsoft runas),(Citation: Microsoft Remote Use of Local),(Citation: Tilbury Windows Credentials),(Citation: MagicWeb),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft Securing Privileged Access),(Citation: Microsoft Create Token)",特权帐户管理,管理与特权帐户（包括系统和根源）相关的创建，修改，使用，使用和权限。
M1025,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.",https://attack.mitre.org/mitigations/M1025,06 June 2019,20 May 2020,1.1,"(Citation: Microsoft Configure LSA),(Citation: Microsoft LSA Protection Mar 2014),(Citation: Microsoft LSA),(Citation: Graeber 2014)",特权过程完整性,通过使用受保护的过程光，反过程防御措施或其他过程完整性执行措施来保护具有高特权的流程，可用于与关键系统组件相互作用。
M1029,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,https://attack.mitre.org/mitigations/M1029,06 June 2019,06 June 2019,1.0,(Citation: Ready.gov IT DRP),远程数据存储,使用远程安全日志和敏感的文件存储，可以更好地控制访问，以防止侵入检测日志数据或敏感信息。
M1022,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,https://attack.mitre.org/mitigations/M1022,06 June 2019,20 May 2020,1.1,"(Citation: Microsoft ETW May 2018),(Citation: create_sym_links),(Citation: piazza launch agent mitigation),(Citation: Microsoft W32Time May 2017),(Citation: win_xml_evt_log),(Citation: InsiderThreat NTFS EA Oct 2017)",限制文件和目录权限,通过设置非特定用户或特权帐户的目录和文件权限来限制访问。
M1044,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,https://attack.mitre.org/mitigations/M1044,11 June 2019,11 June 2019,1.0,"(Citation: Microsoft More information about DLL),(Citation: Microsoft DLL Security),(Citation: Microsoft Dynamic Link Library Search Order)",限制库加载,通过配置适当的库加载机制并研究潜在的脆弱软件，以防止滥用操作系统和软件中的库加载机制加载不信任的代码。
M1024,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,https://attack.mitre.org/mitigations/M1024,06 June 2019,06 June 2019,1.0,"(Citation: Microsoft W32Time May 2017),(Citation: def_ev_win_event_logging),(Citation: Microsoft System Services Fundamentals)",限制注册表许可,限制修改Windows注册表中某些蜂箱或钥匙的能力。
M1021,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",https://attack.mitre.org/mitigations/M1021,06 June 2019,06 June 2019,1.0,(Citation: Microsoft Azure AD Admin Consent),限制基于Web的内容,限制某些网站的使用，块下载/附件，块JavaScript，限制浏览器扩展等等。
M1020,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,https://attack.mitre.org/mitigations/M1020,06 June 2019,06 June 2019,1.0,,SSL/TLS检查,打破并检查SSL/TLS会话，以查看加密的网络流量以进行对手活动。
M1054,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.,https://attack.mitre.org/mitigations/M1054,19 July 2019,31 March 2020,1.1,"(Citation: Cisco Securing SNMP),(Citation: Palo Alto Office Test Sofacy),(Citation: ACSC Email Spoofing),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: CyberArk Labs Safe Mode 2016),(Citation: Microsoft Anti Spoofing),(Citation: CloudSploit - Unused AWS Regions),(Citation: Wikipedia HPKP),(Citation: Enigma Reviving DDE Jan 2018)",软件配置,实施对软件（操作系统除外）的配置更改，以减轻与软件运行方式相关的安全风险。
M1019,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,https://attack.mitre.org/mitigations/M1019,06 June 2019,06 June 2019,1.0,,威胁情报计划,威胁情报计划可帮助组织生成自己的威胁情报信息和跟踪趋势，以告知防御优先级以减轻风险。
M1051,Update Software,Perform regular software updates to mitigate exploitation risk.,https://attack.mitre.org/mitigations/M1051,11 June 2019,07 July 2020,1.0,"(Citation: MS14-025),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: SensePost Outlook Home Page),(Citation: SensePost Outlook Forms),(Citation: NSA Spotting),(Citation: Cisco Blog Legacy Device Attacks),(Citation: Github UACMe)",更新软件,执行定期的软件更新以减轻剥削风险。
M1052,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.,https://attack.mitre.org/mitigations/M1052,11 June 2019,31 March 2020,1.1,"(Citation: GitHub IAD Secure Host Baseline UAC Filtering),(Citation: Executable Installers are Vulnerable)",用户帐户控制,配置Windows用户帐户控制，以减轻对手获得升高过程访问的风险。
M1018,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",https://attack.mitre.org/mitigations/M1018,06 June 2019,20 May 2020,1.1,"(Citation: Wald0 Guide to GPOs),(Citation: Microsoft Azure Storage Security, 2019),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Symantec BITS May 2007),(Citation: Kubernetes Hardening Guide),(Citation: Amazon  AWS Temporary Security Credentials),(Citation: UCF STIG Symbolic Links),(Citation: Microsoft WMI Filters),(Citation: Microsoft ETW May 2018),(Citation: Office 365 Partner Relationships),(Citation: Microsoft SolarWinds Customer Guidance),(Citation: Amazon S3 Security, 2019),(Citation: MDMProfileConfigMacOS),(Citation: Microsoft GPO Security Filtering),(Citation: Apple TN2459 Kernel Extensions),(Citation: Mandiant M-Trends 2020),(Citation: Expel IO Evil in AWS),(Citation: NSA and ASD Detect and Prevent Web Shells 2020)",用户帐户管理,管理与用户帐户相关的创建，修改，使用和权限。
M1017,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",https://attack.mitre.org/mitigations/M1017,06 June 2019,21 October 2020,1.2,(Citation: Re-Open windows on Mac),用户培训,培训用户了解对手的访问或操纵尝试，以降低成功的矛盾，社会工程和其他涉及用户互动的技术的风险。
M1016,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,https://attack.mitre.org/mitigations/M1016,06 June 2019,14 July 2020,1.1,(Citation: OWASP Top 10),脆弱性扫描,脆弱性扫描用于找到潜在的可利用软件漏洞来补救它们。
