ID,name,description,url,created,last modified,version,contributors,platforms,aliases,type,relationship citations,name_zh,description_zh
S0584,AppleJeus,"[AppleJeus](https://attack.mitre.org/software/S0584) is a family of downloaders initially discovered in 2018 embedded within trojanized cryptocurrency applications. [AppleJeus](https://attack.mitre.org/software/S0584) has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032), targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia. [AppleJeus](https://attack.mitre.org/software/S0584) has been used to distribute the [FALLCHILL](https://attack.mitre.org/software/S0181) RAT.(Citation: CISA AppleJeus Feb 2021)",https://attack.mitre.org/software/S0584,01 March 2021,28 September 2022,1.1,,"Windows, macOS",,malware,"(Citation: CISA AppleJeus Feb 2021),,(Citation: CISA AppleJeus Feb 2021),(Citation: ObjectiveSee AppleJeus 2019)",Applejeus,[Applejeus]（https://attack.mitre.org/software/s0584）是最初在2018年发现的下载者一家，该家庭嵌入了Trojanized Cryptocurrency应用程序中。 [applejeus]（https://attack.mitre.org/software/s0584）已被[Lazarus Group]（https://attack.mitre.mitre.org/groups/g0032），能源，金融，金融，金融，金融，金融公司的目标公司政府，工业，技术和电信部门以及美国，英国，韩国，澳大利亚，巴西，新西兰和俄罗斯等几个国家。 [Applejeus]（https://attack.mitre.org/software/s0584）已用于分发[fallchill]（https://attack.mitre.mitre.org/software/s0181）rat。 2021）
S0622,AppleSeed,"[AppleSeed](https://attack.mitre.org/software/S0622) is a backdoor that has been used by [Kimsuky](https://attack.mitre.org/groups/G0094) to target South Korean government, academic, and commercial  targets since at least 2021.(Citation: Malwarebytes Kimsuky June 2021)",https://attack.mitre.org/software/S0622,10 June 2021,15 March 2022,1.1,,"Android, Windows",,malware,"(Citation: Malwarebytes Kimsuky June 2021),(Citation: KISA Operation Muzabi),,(Citation: Malwarebytes Kimsuky June 2021),(Citation: KISA Operation Muzabi)",应用,[appleseed]（https://attack.mitre.org/software/s0622）是[Kimsuky]（https://attack.mitre.org/groups/g0094）使用的后门至少自2021年以来的学术和商业目标。（引文：Malwarebytes Kimsuky 2021年6月）
S0456,Aria-body,[Aria-body](https://attack.mitre.org/software/S0456) is a custom backdoor that has been used by [Naikon](https://attack.mitre.org/groups/G0019) since approximately 2017.(Citation: CheckPoint Naikon May 2020),https://attack.mitre.org/software/S0456,26 May 2020,19 August 2021,1.1,,Windows,,malware,"(Citation: CheckPoint Naikon May 2020),(Citation: Bitdefender Naikon April 2021),,(Citation: CheckPoint Naikon May 2020)",咏叹调,[ARIA-BODY]（https://attack.mitre.org/software/s0456）是一种自定义后门。
S0099,Arp,[Arp](https://attack.mitre.org/software/S0099) displays and modifies information about a system's Address Resolution Protocol (ARP) cache. (Citation: TechNet Arp),https://attack.mitre.org/software/S0099,31 May 2017,07 December 2021,1.1,,"Linux, Windows, macOS",arp.exe,tool,"(Citation: Symantec Orangeworm April 2018),(Citation: Cybereason Cobalt Kitty 2017),(Citation: Kaspersky Turla),,(Citation: Palo Alto ARP),(Citation: TechNet Arp)",arp,[arp]（https://attack.mitre.org/software/s0099）显示并修改有关系统的地址分辨率协议（ARP）缓存的信息。 （引文：Technet ARP）
S0373,Astaroth,"[Astaroth](https://attack.mitre.org/software/S0373) is a Trojan and information stealer known to affect companies in Europe, Brazil, and throughout Latin America. It has been known publicly since at least late 2017. (Citation: Cybereason Astaroth Feb 2019)(Citation: Cofense Astaroth Sept 2018)(Citation: Securelist Brazilian Banking Malware July 2020)",https://attack.mitre.org/software/S0373,17 April 2019,08 December 2020,2.0,"Carlos Borges, @huntingneo, CIP",Windows,Guildma,malware,",,(Citation: Cofense Astaroth Sept 2018),(Citation: Cybereason Astaroth Feb 2019),(Citation: Securelist Brazilian Banking Malware July 2020)",阿斯塔罗斯,[astaroth]（https://attack.mitre.org/software/s0373）是一家特洛伊木马和信息窃取者，已知会影响欧洲，巴西和整个拉丁美洲的公司。至少从2017年下半年开始就公开闻名。
S0438,Attor,[Attor](https://attack.mitre.org/software/S0438) is a Windows-based espionage platform that has been seen in use since 2013. [Attor](https://attack.mitre.org/software/S0438) has a loadable plugin architecture to customize functionality for specific targets.(Citation: ESET Attor Oct 2019),https://attack.mitre.org/software/S0438,06 May 2020,07 July 2020,1.0,ESET,Windows,,malware,",,(Citation: ESET Attor Oct 2019)",律师,[atter]（https://attack.mitre.org/software/s0438）是一个基于Windows的Espionage平台，自2013年以来一直在使用中。 S0438）具有可加载的插件体系结构，可自定义特定目标的功能。（引用：ESET Attor 2019年10月）
S1029,AuTo Stealer,[AuTo Stealer](https://attack.mitre.org/software/S1029) is malware written in C++ has been used by [SideCopy](https://attack.mitre.org/groups/G1008) since at least December 2021 to target government agencies and personnel in India and Afghanistan.(Citation: MalwareBytes SideCopy Dec 2021),https://attack.mitre.org/software/S1029,07 August 2022,24 August 2022,1.0,,Windows,,malware,",,(Citation: MalwareBytes SideCopy Dec 2021)",汽车窃取器,[自动窃取器]（https://attack.mitre.org/software/s1029）是[sidecopy]（https://attack.mitre.mitre.org/groups/g1008）以C ++编写的恶意软件。 2021年针对印度和阿富汗的政府机构和人员。
S0347,AuditCred,[AuditCred](https://attack.mitre.org/software/S0347) is a malicious DLL that has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032) during their 2018 attacks.(Citation: TrendMicro Lazarus Nov 2018),https://attack.mitre.org/software/S0347,30 January 2019,30 March 2020,1.1,,Windows,Roptimizer,malware,"(Citation: TrendMicro Lazarus Nov 2018),,(Citation: TrendMicro Lazarus Nov 2018)",审核,[AuditCred](https://attack.mitre.org/software/S0347) is a malicious DLL that has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032) during their 2018 attacks 。
S0129,AutoIt backdoor,[AutoIt backdoor](https://attack.mitre.org/software/S0129) is malware that has been used by the actors responsible for the MONSOON campaign. The actors frequently used it in weaponized .pps files exploiting CVE-2014-6352. (Citation: Forcepoint Monsoon) This malware makes use of the legitimate scripting language for Windows GUI automation with the same name.,https://attack.mitre.org/software/S0129,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: Forcepoint Monsoon),(Citation: Symantec Elfin Mar 2019),,(Citation: Forcepoint Monsoon)",自动后门,[autoit Backdoor]（https://attack.mitre.org/software/s0129）是由负责季风活动的参与者使用的恶意软件。演员经常在利用CVE-2014-6352的武器化.PPS文件中使用它。 （引用：Forcepoint季风）此恶意软件利用了具有相同名称的Windows GUI自动化的合法脚本语言。
S0640,Avaddon,[Avaddon](https://attack.mitre.org/software/S0640) is ransomware written in C++ that has been offered as Ransomware-as-a-Service (RaaS) since at least June 2020.(Citation: Awake Security Avaddon)(Citation: Arxiv Avaddon Feb 2021),https://attack.mitre.org/software/S0640,23 August 2021,18 October 2021,1.0,"Matt Brenton, Zurich Global Information Security",Windows,,malware,",,(Citation: Awake Security Avaddon),(Citation: Arxiv Avaddon Feb 2021),(Citation: Hornet Security Avaddon June 2020)",阿瓦登,[avaddon]（https://attack.mitre.org/software/s0640）是用C ++编写的勒索软件，该勒索软件至少自2020年6月以来以Ransomware-as-a-Service（RAAS）提供。 ）（引文：Arxiv Avaddon 2021年2月）
S0473,Avenger,[Avenger](https://attack.mitre.org/software/S0473) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0473,11 June 2020,24 June 2020,1.0,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)",复仇者,[Avenger]（https://attack.mitre.org/software/s0473）是[Bronze Butler]（https://attack.mitre.mitre.org/groups/g0060）以来一直使用的下载器，至少至少在2019年以来。 （引文：趋势微滴答2019年11月）
S0344,Azorult,"[Azorult](https://attack.mitre.org/software/S0344) is a commercial Trojan that is used to steal information from compromised hosts. [Azorult](https://attack.mitre.org/software/S0344) has been observed in the wild as early as 2016.
In July 2018, [Azorult](https://attack.mitre.org/software/S0344) was seen used in a spearphishing campaign against targets in North America. [Azorult](https://attack.mitre.org/software/S0344) has been seen used for cryptocurrency theft. (Citation: Unit42 Azorult Nov 2018)(Citation: Proofpoint Azorult July 2018)",https://attack.mitre.org/software/S0344,30 January 2019,13 October 2022,1.3,,Windows,,malware,"(Citation: NCC Group TA505),,(Citation: Unit42 Azorult Nov 2018),(Citation: Proofpoint Azorult July 2018)",Azorult,"[azorult]（https://attack.mitre.org/software/s0344）是一种商业特洛伊木马，用于从折衷的主机中窃取信息。 [Azorult]（https://attack.mitre.org/software/s0344）早在2016年就在野外观察到。
2018年7月，[Azorult]（https://attack.mitre.org/software/s0344）在针对北美目标的一场反对目标运动中使用了。 [azorult]（https://attack.mitre.org/software/s0344）已用于加密货币盗窃。 （引文：Unit42 Azorult 2018年11月）（引文：2018年7月Azorult Azorult）"
S0031,BACKSPACE,[BACKSPACE](https://attack.mitre.org/software/S0031) is a backdoor used by [APT30](https://attack.mitre.org/groups/G0013) that dates back to at least 2005. (Citation: FireEye APT30),https://attack.mitre.org/software/S0031,31 May 2017,30 March 2020,1.1,,Windows,Lecna,malware,"(Citation: FireEye APT30),,(Citation: FireEye APT30)",backspace,[backspace]（https://attack.mitre.org/software/s0031）是[apt30]（https://attack.mitre.org/groups/g0013）使用的后门，至少可追溯到2005年。（引用：FireEye APT30）
S0245,BADCALL,[BADCALL](https://attack.mitre.org/software/S0245) is a Trojan malware variant used by the group [Lazarus Group](https://attack.mitre.org/groups/G0032). (Citation: US-CERT BADCALL),https://attack.mitre.org/software/S0245,17 October 2018,30 March 2020,1.1,,Windows,,malware,"(Citation: US-CERT BADCALL),,(Citation: US-CERT BADCALL)",Badcall,[BADCALL]（https://attack.mitre.org/software/s0245）是由[Lazarus Group]组使用的Trojan恶意软件变体（https://attack.mitre.mitre.mitre.mitre.mitre.mitre.org/groups/g0032）。 （引用：US-CERT BADCALL）
S0642,BADFLICK,[BADFLICK](https://attack.mitre.org/software/S0642) is a backdoor used by [Leviathan](https://attack.mitre.org/groups/G0065) in spearphishing campaigns first reported in 2018 that targeted the U.S. engineering and maritime industries.(Citation: FireEye Periscope March 2018)(Citation: Accenture MUDCARP March 2019),https://attack.mitre.org/software/S0642,26 August 2021,15 October 2021,1.0,,Windows,,malware,"(Citation: Accenture MUDCARP March 2019),(Citation: FireEye Periscope March 2018),,(Citation: Accenture MUDCARP March 2019)",Badflick,[BADFLICK]（https://attack.mitre.org/software/s0642）是[leviathan]（https://attack.mitre.mitre.org/groups/g0065）使用的后期，在2018年首次报道了针对性的销售活动。美国工程和海事工业。
S0128,BADNEWS,"[BADNEWS](https://attack.mitre.org/software/S0128) is malware that has been used by the actors responsible for the [Patchwork](https://attack.mitre.org/groups/G0040) campaign. Its name was given due to its use of RSS feeds, forums, and blogs for command and control. (Citation: Forcepoint Monsoon) (Citation: TrendMicro Patchwork Dec 2017)",https://attack.mitre.org/software/S0128,31 May 2017,21 June 2021,1.2,,Windows,,malware,"(Citation: Forcepoint Monsoon),(Citation: TrendMicro Patchwork Dec 2017),,(Citation: Forcepoint Monsoon),(Citation: TrendMicro Patchwork Dec 2017),(Citation: PaloAlto Patchwork Mar 2018)",坏消息,[BADNEWS]（https://attack.mitre.org/software/s0128）是恶意软件，已由负责[PatchWork]（https://attack.mitre.mitre.mitre.org/groups/g0040）的参与者使用。它的名称是由于它使用RSS提要，论坛和博客进行命令和控制。 （引文：力点季风）（引文：TrendMicro Patchwork 2017年12月）
S0470,BBK,[BBK](https://attack.mitre.org/software/S0470) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0470,10 June 2020,24 June 2020,1.0,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)",BBK,[BBK]（https://attack.mitre.org/software/s0470）是[Bronze Butler]（https://attack.mitre.mitre.org/groups/g0060）以来一直使用的下载器，至少至少从2019年开始使用。 （引文：趋势微滴答2019年11月）
S0127,BBSRAT,[BBSRAT](https://attack.mitre.org/software/S0127) is malware with remote access tool functionality that has been used in targeted compromises. (Citation: Palo Alto Networks BBSRAT),https://attack.mitre.org/software/S0127,31 May 2017,30 March 2020,1.2,,Windows,,malware,",,(Citation: Palo Alto Networks BBSRAT)",Bbsrat,[bbsrat]（https://attack.mitre.org/software/s0127）是恶意软件，具有远程访问工具功能，已在目标妥协中使用。 （引文：帕洛阿尔托网络BBSRAT）
S0017,BISCUIT,[BISCUIT](https://attack.mitre.org/software/S0017) is a backdoor that has been used by [APT1](https://attack.mitre.org/groups/G0006) since as early as 2007. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0017,31 May 2017,30 March 2020,1.2,,Windows,,malware,"(Citation: Mandiant APT1),,(Citation: Mandiant APT1),(Citation: Mandiant APT1 Appendix)",饼干,[biscuit]（https://attack.mitre.org/software/s0017）是[apt1]（https://attack.mitre.org/groups/g0006）的后门，最早早在2007年就使用了。 （引用：Mandiant APT1）
S0190,BITSAdmin,[BITSAdmin](https://attack.mitre.org/software/S0190) is a command line tool used to create and manage [BITS Jobs](https://attack.mitre.org/techniques/T1197). (Citation: Microsoft BITSAdmin),https://attack.mitre.org/software/S0190,18 April 2018,13 October 2022,1.3,Edward Millington,Windows,,tool,"(Citation: FireEye APT41 March 2020),(Citation: Kaspersky Lyceum October 2021),(Citation: TrendMicro Tropic Trooper Mar 2018),(Citation: FireEye Periscope March 2018),(Citation: Kaspersky Ferocious Kitten Jun 2021),,(Citation: TrendMicro Tropic Trooper Mar 2018),(Citation: Microsoft BITSAdmin),(Citation: Microsoft About BITS)",比塔明,[BITSADMIN]（https://attack.mitre.org/software/s0190）是一种命令行工具，用于创建和管理[BITS Jobs]（https://attack.mitre.mitre.org/techniques/t1197）。 （引文：微软BITSADMIN）
S0069,BLACKCOFFEE,[BLACKCOFFEE](https://attack.mitre.org/software/S0069) is malware that has been used by several Chinese groups since at least 2013. (Citation: FireEye APT17) (Citation: FireEye Periscope March 2018),https://attack.mitre.org/software/S0069,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: FireEye Periscope March 2018),(Citation: FireEye APT17),(Citation: FireEye APT41 Aug 2019),,(Citation: FireEye Periscope March 2018),(Citation: FireEye APT17)",黑咖啡,[BlackCoffee]（https://attack.mitre.org/software/s0069）是恶意软件，至少从2013年开始就被多个中国组使用。
S0520,BLINDINGCAN,"[BLINDINGCAN](https://attack.mitre.org/software/S0520) is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US.(Citation: US-CERT BLINDINGCAN Aug 2020)(Citation: NHS UK BLINDINGCAN Aug 2020)",https://attack.mitre.org/software/S0520,27 October 2020,17 March 2021,1.0,"Daniyal Naeem, BT Security",Windows,,malware,"(Citation: US-CERT BLINDINGCAN Aug 2020),,(Citation: NHS UK BLINDINGCAN Aug 2020),(Citation: US-CERT BLINDINGCAN Aug 2020)",Blindingcan,[blindingcan]（https://attack.mitre.org/software/s0520）是远程访问木马，至少自2020年初以来，朝鲜政府就在2020年初从事防御，工程和西方政府组织的网络行动以来一直使用欧洲与美国。
S0657,BLUELIGHT,[BLUELIGHT](https://attack.mitre.org/software/S0657) is a remote access Trojan used by [APT37](https://attack.mitre.org/groups/G0067) that was first observed in early 2021.(Citation: Volexity InkySquid BLUELIGHT August 2021),https://attack.mitre.org/software/S0657,01 October 2021,15 October 2021,1.0,,Windows,,malware,"(Citation: Volexity InkySquid BLUELIGHT August 2021),,(Citation: Volexity InkySquid BLUELIGHT August 2021)",蓝光,[bluelight]（https://attack.mitre.org/software/s0657）是[apt37]使用的远程访问trojan（https://attack.mitre.mitre.org/groups/g0067），首先在2021年初观察到。
S0360,BONDUPDATER,"[BONDUPDATER](https://attack.mitre.org/software/S0360) is a PowerShell backdoor used by [OilRig](https://attack.mitre.org/groups/G0049). It was first observed in November 2017 during targeting of a Middle Eastern government organization, and an updated version was observed in August 2018 being used to target a government organization with spearphishing emails.(Citation: FireEye APT34 Dec 2017)(Citation: Palo Alto OilRig Sep 2018)",https://attack.mitre.org/software/S0360,18 February 2019,09 February 2021,1.2,,Windows,,malware,"(Citation: FireEye APT34 Dec 2017),(Citation: Palo Alto OilRig Sep 2018),,(Citation: Palo Alto OilRig Sep 2018),(Citation: FireEye APT34 Dec 2017)",Bondupdater,[bondupdater]（https://attack.mitre.org/software/s0360）是[oilrig]（https://attack.mitre.mitre.org/groups/g0049）使用的PowerShell Backdoor。它于2017年11月在目标中东政府组织中首次观察，并于2018年8月观察到更新版本，用于针对带有矛盾电子邮件的政府组织。 2018年9月）
S0415,BOOSTWRITE,[BOOSTWRITE](https://attack.mitre.org/software/S0415) is a loader crafted to be launched via abuse of the DLL search order of applications used by [FIN7](https://attack.mitre.org/groups/G0046).(Citation: FireEye FIN7 Oct 2019),https://attack.mitre.org/software/S0415,11 October 2019,15 October 2019,1.0,,Windows,,malware,"(Citation: FireEye FIN7 Oct 2019),,(Citation: FireEye FIN7 Oct 2019)",BoostWrite,[BOOSTWRITE]（https://attack.mitre.org/software/s0415）是一种装载机，该装载机是通过滥用[FIN7]（https://attack.mitre.orgg/ships of Application of Application of Application of Application启动的装载机组/G0046）。（引文：FireEye Fin7 2019年10月）
S0114,BOOTRASH,[BOOTRASH](https://attack.mitre.org/software/S0114) is a [Bootkit](https://attack.mitre.org/techniques/T1542/003) that targets Windows operating systems. It has been used by threat actors that target the financial sector.(Citation: Mandiant M Trends 2016)(Citation: FireEye Bootkits)(Citation: FireEye BOOTRASH SANS),https://attack.mitre.org/software/S0114,31 May 2017,09 June 2021,1.1,"Christopher Glyer, Mandiant, @cglyer",Windows,,malware,",,(Citation: FireEye BOOTRASH SANS),(Citation: Mandiant M Trends 2016),(Citation: FireEye Bootkits)",bootrash,[bootrash]（https://attack.mitre.org/software/s0114）是[bootkit]（https://attack.mitre.org.org/techniques/t1542/003），目标是Windows操作系统。它已被针对金融部门的威胁参与者使用。
S0014,BS2005,[BS2005](https://attack.mitre.org/software/S0014) is malware that was used by [Ke3chang](https://attack.mitre.org/groups/G0004) in spearphishing campaigns since at least 2011. (Citation: Mandiant Operation Ke3chang November 2014),https://attack.mitre.org/software/S0014,31 May 2017,01 November 2021,1.1,,Windows,,malware,",,(Citation: Mandiant Operation Ke3chang November 2014)",BS2005,[BS2005]（https://attack.mitre.org/software/s0014）是[ke3chang]（https://attack.mitre.mitre.org/groups/g0004）在SpearPheshishing活动中至少从2011年开始使用的恶意软件（https://attpps://attack.mitre.mitre.mitre.org.org/groups/g0004）。 （引用：Mandiant操作KE3chang 2014年11月）
